Category,top_keywords
ETL Developer,"[('data', np.int64(376)), ('etl', np.int64(344)), ('informatica', np.int64(240)), ('sql', np.int64(184)), ('project', np.int64(176)), ('exprience', np.int64(160)), ('details', np.int64(152)), ('using', np.int64(144)), ('talend', np.int64(128)), ('developer', np.int64(120)), ('testing', np.int64(120)), ('unix', np.int64(104)), ('mappings', np.int64(96)), ('services', np.int64(96)), ('business', np.int64(88)), ('environment', np.int64(88)), ('server', np.int64(88)), ('jobs', np.int64(80)), ('knowledge', np.int64(80)), ('oracle', np.int64(80)), ('unit', np.int64(80)), ('center', np.int64(72)), ('development', np.int64(72)), ('job', np.int64(72)), ('source', np.int64(72)), ('warehouse', np.int64(72)), ('assurant', np.int64(64)), ('client', np.int64(64)), ('database', np.int64(64)), ('developed', np.int64(64)), ('documents', np.int64(64)), ('feeds', np.int64(64)), ('files', np.int64(64)), ('power', np.int64(64)), ('reconciliation', np.int64(64)), ('bank', np.int64(56)), ('created', np.int64(56)), ('different', np.int64(56)), ('like', np.int64(56)), ('management', np.int64(56)), ('mapping', np.int64(56)), ('mumbai', np.int64(56)), ('tables', np.int64(56)), ('tool', np.int64(56)), ('transformations', np.int64(56)), ('used', np.int64(56)), ('work', np.int64(56)), ('consultancy', np.int64(48)), ('integration', np.int64(48)), ('issues', np.int64(48)), ('load', np.int64(48)), ('loading', np.int64(48)), ('performed', np.int64(48)), ('process', np.int64(48)), ('role', np.int64(48)), ('skill', np.int64(48)), ('systems', np.int64(48)), ('tata', np.int64(48)), ('technical', np.int64(48)), ('writing', np.int64(48)), ('components', np.int64(40)), ('design', np.int64(40)), ('developing', np.int64(40)), ('education', np.int64(40)), ('flat', np.int64(40)), ('insurance', np.int64(40)), ('monthscompany', np.int64(40)), ('production', np.int64(40)), ('reports', np.int64(40)), ('requirements', np.int64(40)), ('solution', np.int64(40)), ('staging', np.int64(40)), ('sun', np.int64(40)), ('support', np.int64(40)), ('target', np.int64(40)), ('trust', np.int64(40)), ('various', np.int64(40)), ('analyzing', np.int64(32)), ('banking', np.int64(32)), ('college', np.int64(32)), ('contribution', np.int64(32)), ('create', np.int64(32)), ('delivered', np.int64(32)), ('engineering', np.int64(32)), ('financial', np.int64(32)), ('identify', np.int64(32)), ('involved', np.int64(32)), ('layer', np.int64(32)), ('microsoft', np.int64(32)), ('multimedia', np.int64(32)), ('requirement', np.int64(32)), ('responsible', np.int64(32)), ('run', np.int64(32)), ('skills', np.int64(32)), ('studio', np.int64(32)), ('yes', np.int64(32)), ('ability', np.int64(24)), ('analysis', np.int64(24)), ('autosys', np.int64(24)), ('based', np.int64(24))]"
Electrical Engineering,"[('electrical', np.int64(300)), ('maintenance', np.int64(144)), ('engineering', np.int64(114)), ('power', np.int64(108)), ('project', np.int64(102)), ('details', np.int64(90)), ('operation', np.int64(60)), ('control', np.int64(54)), ('layout', np.int64(54)), ('plant', np.int64(54)), ('pvt', np.int64(54)), ('technical', np.int64(54)), ('cable', np.int64(48)), ('completed', np.int64(48)), ('design', np.int64(48)), ('equipment', np.int64(48)), ('panel', np.int64(48)), ('panels', np.int64(48)), ('pune', np.int64(48)), ('activities', np.int64(42)), ('drawing', np.int64(42)), ('management', np.int64(42)), ('work', np.int64(42)), ('distribution', np.int64(36)), ('installation', np.int64(36)), ('process', np.int64(36)), ('schedules', np.int64(36)), ('university', np.int64(36)), ('autocad', np.int64(30)), ('commissioning', np.int64(30)), ('drawings', np.int64(30)), ('drives', np.int64(30)), ('education', np.int64(30)), ('engineer', np.int64(30)), ('exprience', np.int64(30)), ('flow', np.int64(30)), ('industrial', np.int64(30)), ('knowledge', np.int64(30)), ('line', np.int64(30)), ('machine', np.int64(30)), ('projects', np.int64(30)), ('protection', np.int64(30)), ('relay', np.int64(30)), ('skill', np.int64(30)), ('standards', np.int64(30)), ('college', np.int64(24)), ('day', np.int64(24)), ('earthing', np.int64(24)), ('handling', np.int64(24)), ('india', np.int64(24)), ('material', np.int64(24)), ('mcc', np.int64(24)), ('monitoring', np.int64(24)), ('motor', np.int64(24)), ('plc', np.int64(24)), ('review', np.int64(24)), ('safety', np.int64(24)), ('skills', np.int64(24)), ('switchgear', np.int64(24)), ('testing', np.int64(24)), ('troubleshooting', np.int64(24)), ('various', np.int64(24)), ('ability', np.int64(18)), ('basis', np.int64(18)), ('bhopal', np.int64(18)), ('breaker', np.int64(18)), ('breweries', np.int64(18)), ('clients', np.int64(18)), ('commercial', np.int64(18)), ('course', np.int64(18)), ('development', np.int64(18)), ('grid', np.int64(18)), ('hsc', np.int64(18)), ('including', np.int64(18)), ('job', np.int64(18)), ('lighting', np.int64(18)), ('lightning', np.int64(18)), ('like', np.int64(18)), ('monthscompany', np.int64(18)), ('motors', np.int64(18)), ('nature', np.int64(18)), ('overall', np.int64(18)), ('period', np.int64(18)), ('preventive', np.int64(18)), ('region', np.int64(18)), ('requirement', np.int64(18)), ('shegaon', np.int64(18)), ('sld', np.int64(18)), ('soft', np.int64(18)), ('solar', np.int64(18)), ('specification', np.int64(18)), ('substation', np.int64(18)), ('team', np.int64(18)), ('time', np.int64(18)), ('transmitter', np.int64(18)), ('united', np.int64(18)), ('vendor', np.int64(18)), ('weeks', np.int64(18)), ('acceptance', np.int64(12)), ('actuators', np.int64(12))]"
HR,"[('details', np.int64(132)), ('exprience', np.int64(72)), ('management', np.int64(60)), ('skill', np.int64(44)), ('education', np.int64(40)), ('monthscompany', np.int64(28)), ('payroll', np.int64(28)), ('skills', np.int64(28)), ('computer', np.int64(24)), ('engineering', np.int64(24)), ('university', np.int64(24)), ('college', np.int64(20)), ('compliance', np.int64(20)), ('dynamics', np.int64(20)), ('employee', np.int64(20)), ('employees', np.int64(20)), ('mba', np.int64(20)), ('salary', np.int64(20)), ('software', np.int64(20)), ('statutory', np.int64(20)), ('accounting', np.int64(16)), ('dbms', np.int64(16)), ('form', np.int64(16)), ('payment', np.int64(16)), ('school', np.int64(16)), ('training', np.int64(16)), ('administration', np.int64(12)), ('annual', np.int64(12)), ('attendance', np.int64(12)), ('communication', np.int64(12)), ('finance', np.int64(12)), ('forms', np.int64(12)), ('handling', np.int64(12)), ('institute', np.int64(12)), ('kerala', np.int64(12)), ('like', np.int64(12)), ('maintenance', np.int64(12)), ('microsoft', np.int64(12)), ('nadu', np.int64(12)), ('office', np.int64(12)), ('related', np.int64(12)), ('tamil', np.int64(12)), ('act', np.int64(8)), ('activities', np.int64(8)), ('appraisal', np.int64(8)), ('arrange', np.int64(8)), ('basic', np.int64(8)), ('benefits', np.int64(8)), ('chennai', np.int64(8)), ('creating', np.int64(8)), ('database', np.int64(8)), ('days', np.int64(8)), ('ecommerce', np.int64(8)), ('economics', np.int64(8)), ('end', np.int64(8)), ('excel', np.int64(8)), ('formalities', np.int64(8)), ('gaarment', np.int64(8)), ('good', np.int64(8)), ('gratuity', np.int64(8)), ('hard', np.int64(8)), ('hospitality', np.int64(8)), ('hotel', np.int64(8)), ('hsc', np.int64(8)), ('india', np.int64(8)), ('international', np.int64(8)), ('internet', np.int64(8)), ('internship', np.int64(8)), ('java', np.int64(8)), ('job', np.int64(8)), ('key', np.int64(8)), ('knowledge', np.int64(8)), ('letters', np.int64(8)), ('malappuram', np.int64(8)), ('master', np.int64(8)), ('matlab', np.int64(8)), ('mumbai', np.int64(8)), ('new', np.int64(8)), ('package', np.int64(8)), ('performance', np.int64(8)), ('policies', np.int64(8)), ('procedure', np.int64(8)), ('process', np.int64(8)), ('processing', np.int64(8)), ('psychology', np.int64(8)), ('queries', np.int64(8)), ('ramesh', np.int64(8)), ('recruitment', np.int64(8)), ('reviews', np.int64(8)), ('rlt', np.int64(8)), ('saral', np.int64(8)), ('science', np.int64(8)), ('scrum', np.int64(8)), ('sdnbvc', np.int64(8)), ('sec', np.int64(8)), ('session', np.int64(8)), ('sns', np.int64(8)), ('solution', np.int64(8)), ('sri', np.int64(8)), ('starting', np.int64(8))]"
Hadoop,"[('data', np.int64(624)), ('hadoop', np.int64(444)), ('hive', np.int64(336)), ('sqoop', np.int64(174)), ('using', np.int64(174)), ('hdfs', np.int64(162)), ('exprience', np.int64(144)), ('project', np.int64(144)), ('details', np.int64(126)), ('spark', np.int64(120)), ('cluster', np.int64(114)), ('developer', np.int64(96)), ('pig', np.int64(96)), ('involved', np.int64(90)), ('sql', np.int64(90)), ('mapreduce', np.int64(84)), ('queries', np.int64(84)), ('hbase', np.int64(72)), ('like', np.int64(72)), ('tables', np.int64(72)), ('used', np.int64(72)), ('database', np.int64(66)), ('java', np.int64(66)), ('map', np.int64(66)), ('reduce', np.int64(66)), ('scala', np.int64(66)), ('various', np.int64(66)), ('different', np.int64(60)), ('environment', np.int64(60)), ('processing', np.int64(60)), ('skill', np.int64(60)), ('worked', np.int64(60)), ('business', np.int64(54)), ('developed', np.int64(54)), ('ecosystem', np.int64(54)), ('services', np.int64(54)), ('team', np.int64(54)), ('testing', np.int64(54)), ('tools', np.int64(54)), ('application', np.int64(48)), ('cloudera', np.int64(48)), ('flume', np.int64(48)), ('information', np.int64(48)), ('jobs', np.int64(48)), ('monitoring', np.int64(48)), ('performance', np.int64(48)), ('pune', np.int64(48)), ('reports', np.int64(48)), ('responsibilities', np.int64(48)), ('scripting', np.int64(48)), ('scripts', np.int64(48)), ('consultancy', np.int64(42)), ('create', np.int64(42)), ('created', np.int64(42)), ('developing', np.int64(42)), ('linux', np.int64(42)), ('oozie', np.int64(42)), ('process', np.int64(42)), ('product', np.int64(42)), ('provide', np.int64(42)), ('python', np.int64(42)), ('rdbms', np.int64(42)), ('solution', np.int64(42)), ('systems', np.int64(42)), ('tata', np.int64(42)), ('unix', np.int64(42)), ('windows', np.int64(42)), ('writing', np.int64(42)), ('analytics', np.int64(36)), ('apache', np.int64(36)), ('bank', np.int64(36)), ('big', np.int64(36)), ('customers', np.int64(36)), ('file', np.int64(36)), ('impala', np.int64(36)), ('mysql', np.int64(36)), ('oracle', np.int64(36)), ('set', np.int64(36)), ('store', np.int64(36)), ('technical', np.int64(36)), ('based', np.int64(30)), ('core', np.int64(30)), ('databases', np.int64(30)), ('development', np.int64(30)), ('distributed', np.int64(30)), ('eclipse', np.int64(30)), ('engineer', np.int64(30)), ('india', np.int64(30)), ('job', np.int64(30)), ('languages', np.int64(30)), ('large', np.int64(30)), ('learning', np.int64(30)), ('limited', np.int64(30)), ('loading', np.int64(30)), ('logic', np.int64(30)), ('optimization', np.int64(30)), ('prgx', np.int64(30)), ('private', np.int64(30)), ('programming', np.int64(30)), ('shell', np.int64(30))]"
Health and fitness,"[('fitness', np.int64(185)), ('details', np.int64(90)), ('health', np.int64(80)), ('gym', np.int64(70)), ('nutrition', np.int64(60)), ('skills', np.int64(60)), ('management', np.int64(55)), ('sales', np.int64(55)), ('responsibilities', np.int64(50)), ('related', np.int64(45)), ('science', np.int64(45)), ('college', np.int64(40)), ('education', np.int64(40)), ('team', np.int64(40)), ('training', np.int64(40)), ('customers', np.int64(35)), ('handling', np.int64(35)), ('queries', np.int64(35)), ('centre', np.int64(30)), ('customer', np.int64(30)), ('hotel', np.int64(30)), ('skill', np.int64(30)), ('university', np.int64(30)), ('work', np.int64(30)), ('activities', np.int64(25)), ('assigned', np.int64(25)), ('care', np.int64(25)), ('club', np.int64(25)), ('duties', np.int64(25)), ('good', np.int64(25)), ('goqii', np.int64(25)), ('high', np.int64(25)), ('keeping', np.int64(25)), ('manager', np.int64(25)), ('people', np.int64(25)), ('perform', np.int64(25)), ('spa', np.int64(25)), ('achieve', np.int64(20)), ('columbia', np.int64(20)), ('completed', np.int64(20)), ('diploma', np.int64(20)), ('exprience', np.int64(20)), ('group', np.int64(20)), ('insurance', np.int64(20)), ('job', np.int64(20)), ('leader', np.int64(20)), ('personal', np.int64(20)), ('providing', np.int64(20)), ('public', np.int64(20)), ('reporting', np.int64(20)), ('staff', np.int64(20)), ('therapies', np.int64(20)), ('time', np.int64(20)), ('trainer', np.int64(20)), ('administration', np.int64(15)), ('business', np.int64(15)), ('centres', np.int64(15)), ('clients', np.int64(15)), ('clinical', np.int64(15)), ('coach', np.int64(15)), ('communication', np.int64(15)), ('counselling', np.int64(15)), ('course', np.int64(15)), ('daily', np.int64(15)), ('different', np.int64(15)), ('ensuring', np.int64(15)), ('environment', np.int64(15)), ('foot', np.int64(15)), ('goal', np.int64(15)), ('goals', np.int64(15)), ('healthcare', np.int64(15)), ('home', np.int64(15)), ('india', np.int64(15)), ('institute', np.int64(15)), ('leadership', np.int64(15)), ('lifekonnect', np.int64(15)), ('members', np.int64(15)), ('nutritionist', np.int64(15)), ('operations', np.int64(15)), ('outs', np.int64(15)), ('payment', np.int64(15)), ('players', np.int64(15)), ('preparing', np.int64(15)), ('present', np.int64(15)), ('promoting', np.int64(15)), ('refreshers', np.int64(15)), ('roles', np.int64(15)), ('school', np.int64(15)), ('speaking', np.int64(15)), ('sports', np.int64(15)), ('taking', np.int64(15)), ('turn', np.int64(15)), ('working', np.int64(15)), ('advance', np.int64(10)), ('bandra', np.int64(10)), ('bengaluru', np.int64(10)), ('bmn', np.int64(10)), ('body', np.int64(10)), ('career', np.int64(10)), ('communicating', np.int64(10))]"
Java Developer,"[('java', np.int64(636)), ('exprience', np.int64(408)), ('developer', np.int64(288)), ('details', np.int64(276)), ('ajax', np.int64(138)), ('jsp', np.int64(132)), ('spring', np.int64(132)), ('technologies', np.int64(132)), ('hibernate', np.int64(114)), ('mysql', np.int64(114)), ('pvt', np.int64(108)), ('javascript', np.int64(102)), ('project', np.int64(102)), ('development', np.int64(96)), ('servlet', np.int64(96)), ('technology', np.int64(96)), ('jquery', np.int64(90)), ('skill', np.int64(90)), ('web', np.int64(78)), ('database', np.int64(72)), ('education', np.int64(72)), ('computer', np.int64(66)), ('monthscompany', np.int64(66)), ('pune', np.int64(66)), ('software', np.int64(66)), ('title', np.int64(66)), ('using', np.int64(66)), ('windows', np.int64(66)), ('amravati', np.int64(60)), ('databases', np.int64(60)), ('skills', np.int64(60)), ('systems', np.int64(60)), ('website', np.int64(60)), ('html', np.int64(54)), ('json', np.int64(54)), ('operating', np.int64(54)), ('oracle', np.int64(54)), ('role', np.int64(54)), ('sql', np.int64(54)), ('university', np.int64(54)), ('used', np.int64(54)), ('working', np.int64(54)), ('data', np.int64(48)), ('eclipse', np.int64(48)), ('engineering', np.int64(48)), ('management', np.int64(48)), ('mvc', np.int64(48)), ('nashik', np.int64(48)), ('programming', np.int64(48)), ('services', np.int64(48)), ('tech', np.int64(48)), ('technical', np.int64(48)), ('testing', np.int64(48)), ('tools', np.int64(48)), ('android', np.int64(42)), ('angular', np.int64(42)), ('application', np.int64(42)), ('backend', np.int64(42)), ('core', np.int64(42)), ('end', np.int64(42)), ('frontend', np.int64(42)), ('languages', np.int64(42)), ('master', np.int64(42)), ('user', np.int64(42)), ('bootstrap', np.int64(36)), ('bugs', np.int64(36)), ('developing', np.int64(36)), ('duration', np.int64(36)), ('environment', np.int64(36)), ('ionic', np.int64(36)), ('language', np.int64(36)), ('linux', np.int64(36)), ('nagpur', np.int64(36)), ('requirements', np.int64(36)), ('script', np.int64(36)), ('server', np.int64(36)), ('solutions', np.int64(36)), ('architecture', np.int64(30)), ('based', np.int64(30)), ('client', np.int64(30)), ('college', np.int64(30)), ('information', np.int64(30)), ('institute', np.int64(30)), ('issues', np.int64(30)), ('jdbc', np.int64(30)), ('requirement', np.int64(30)), ('stock', np.int64(30)), ('team', np.int64(30)), ('abstract', np.int64(24)), ('advance', np.int64(24)), ('applications', np.int64(24)), ('billing', np.int64(24)), ('completed', np.int64(24)), ('css', np.int64(24)), ('design', np.int64(24)), ('framework', np.int64(24)), ('inouvelle', np.int64(24)), ('knowledge', np.int64(24)), ('limited', np.int64(24)), ('modules', np.int64(24))]"
Mechanical Engineer,"[('engineering', np.int64(224)), ('mechanical', np.int64(208)), ('design', np.int64(168)), ('details', np.int64(120)), ('customer', np.int64(104)), ('project', np.int64(104)), ('technical', np.int64(104)), ('products', np.int64(96)), ('vendor', np.int64(96)), ('cost', np.int64(80)), ('work', np.int64(80)), ('development', np.int64(72)), ('machine', np.int64(72)), ('projects', np.int64(72)), ('role', np.int64(72)), ('sales', np.int64(72)), ('time', np.int64(72)), ('training', np.int64(72)), ('vendors', np.int64(72)), ('exprience', np.int64(64)), ('manufacturing', np.int64(64)), ('process', np.int64(64)), ('proposal', np.int64(64)), ('pune', np.int64(64)), ('pvt', np.int64(64)), ('responsibilities', np.int64(64)), ('order', np.int64(56)), ('engineer', np.int64(48)), ('ensure', np.int64(48)), ('estimation', np.int64(48)), ('field', np.int64(48)), ('maintain', np.int64(48)), ('mumbai', np.int64(48)), ('new', np.int64(48)), ('quotations', np.int64(48)), ('supply', np.int64(48)), ('team', np.int64(48)), ('cad', np.int64(40)), ('college', np.int64(40)), ('commercial', np.int64(40)), ('conducted', np.int64(40)), ('diploma', np.int64(40)), ('education', np.int64(40)), ('engg', np.int64(40)), ('fabrication', np.int64(40)), ('industrial', np.int64(40)), ('participate', np.int64(40)), ('plastering', np.int64(40)), ('pneumatic', np.int64(40)), ('product', np.int64(40)), ('required', np.int64(40)), ('review', np.int64(40)), ('skill', np.int64(40)), ('solutions', np.int64(40)), ('student', np.int64(40)), ('support', np.int64(40)), ('wave', np.int64(40)), ('working', np.int64(40)), ('association', np.int64(32)), ('automated', np.int64(32)), ('automation', np.int64(32)), ('chain', np.int64(32)), ('cnc', np.int64(32)), ('coordinate', np.int64(32)), ('customers', np.int64(32)), ('departments', np.int64(32)), ('develop', np.int64(32)), ('engineers', np.int64(32)), ('equipment', np.int64(32)), ('hydraulic', np.int64(32)), ('industry', np.int64(32)), ('management', np.int64(32)), ('material', np.int64(32)), ('materials', np.int64(32)), ('midc', np.int64(32)), ('monthscompany', np.int64(32)), ('nagpur', np.int64(32)), ('power', np.int64(32)), ('production', np.int64(32)), ('quality', np.int64(32)), ('requirement', np.int64(32)), ('requirements', np.int64(32)), ('research', np.int64(32)), ('solution', np.int64(32)), ('suppliers', np.int64(32)), ('action', np.int64(24)), ('activity', np.int64(24)), ('actuator', np.int64(24)), ('auto', np.int64(24)), ('autocad', np.int64(24)), ('catia', np.int64(24)), ('cement', np.int64(24)), ('costing', np.int64(24)), ('critical', np.int64(24)), ('data', np.int64(24)), ('department', np.int64(24)), ('developing', np.int64(24)), ('enquiries', np.int64(24)), ('execution', np.int64(24)), ('experiences', np.int64(24))]"
Network Security Engineer,"[('network', np.int64(305)), ('exprience', np.int64(245)), ('security', np.int64(240)), ('cisco', np.int64(225)), ('configuration', np.int64(170)), ('management', np.int64(125)), ('firewall', np.int64(105)), ('server', np.int64(85)), ('details', np.int64(75)), ('project', np.int64(75)), ('servers', np.int64(75)), ('switches', np.int64(75)), ('devices', np.int64(70)), ('firewalls', np.int64(70)), ('client', np.int64(65)), ('technologies', np.int64(65)), ('troubleshooting', np.int64(65)), ('asa', np.int64(60)), ('engineer', np.int64(60)), ('troubleshoot', np.int64(60)), ('maintaining', np.int64(55)), ('routing', np.int64(55)), ('networking', np.int64(50)), ('router', np.int64(50)), ('access', np.int64(45)), ('backup', np.int64(45)), ('based', np.int64(45)), ('dhcp', np.int64(45)), ('implementation', np.int64(45)), ('lan', np.int64(45)), ('routers', np.int64(45)), ('switching', np.int64(45)), ('windows', np.int64(45)), ('checkpoint', np.int64(40)), ('issues', np.int64(40)), ('skills', np.int64(40)), ('vpn', np.int64(40)), ('work', np.int64(40)), ('dns', np.int64(35)), ('installation', np.int64(35)), ('installing', np.int64(35)), ('knowledge', np.int64(35)), ('mumbai', np.int64(35)), ('policies', np.int64(35)), ('responsibilities', np.int64(35)), ('skill', np.int64(35)), ('solutions', np.int64(35)), ('university', np.int64(35)), ('upgrade', np.int64(35)), ('user', np.int64(35)), ('administration', np.int64(30)), ('assigning', np.int64(30)), ('college', np.int64(30)), ('control', np.int64(30)), ('ftp', np.int64(30)), ('plane', np.int64(30)), ('pune', np.int64(30)), ('related', np.int64(30)), ('rights', np.int64(30)), ('roles', np.int64(30)), ('software', np.int64(30)), ('vlan', np.int64(30)), ('administrator', np.int64(25)), ('backups', np.int64(25)), ('basic', np.int64(25)), ('configure', np.int64(25)), ('education', np.int64(25)), ('file', np.int64(25)), ('files', np.int64(25)), ('high', np.int64(25)), ('implementing', np.int64(25)), ('india', np.int64(25)), ('infrastructure', np.int64(25)), ('lists', np.int64(25)), ('monitoring', np.int64(25)), ('monthscompany', np.int64(25)), ('multi', np.int64(25)), ('requirements', np.int64(25)), ('role', np.int64(25)), ('shared', np.int64(25)), ('active', np.int64(20)), ('application', np.int64(20)), ('calls', np.int64(20)), ('certificate', np.int64(20)), ('certified', np.int64(20)), ('checking', np.int64(20)), ('configuring', np.int64(20)), ('coordinating', np.int64(20)), ('data', np.int64(20)), ('directory', np.int64(20)), ('disk', np.int64(20)), ('drives', np.int64(20)), ('eigrp', np.int64(20)), ('filtering', np.int64(20)), ('group', np.int64(20)), ('health', np.int64(20)), ('infra', np.int64(20)), ('install', np.int64(20)), ('ipsec', np.int64(20)), ('jaunpur', np.int64(20))]"
Operations Manager,"[('team', np.int64(650)), ('operations', np.int64(570)), ('project', np.int64(470)), ('client', np.int64(410)), ('services', np.int64(390)), ('management', np.int64(370)), ('ensuring', np.int64(320)), ('customer', np.int64(270)), ('quality', np.int64(250)), ('development', np.int64(240)), ('manager', np.int64(240)), ('work', np.int64(230)), ('business', np.int64(200)), ('india', np.int64(190)), ('job', np.int64(190)), ('process', np.int64(190)), ('timely', np.int64(190)), ('ensure', np.int64(180)), ('honeywell', np.int64(180)), ('meetings', np.int64(180)), ('activities', np.int64(170)), ('control', np.int64(170)), ('fat', np.int64(170)), ('ges', np.int64(170)), ('monitored', np.int64(170)), ('activity', np.int64(160)), ('customers', np.int64(160)), ('managing', np.int64(160)), ('delivery', np.int64(150)), ('engineering', np.int64(150)), ('international', np.int64(150)), ('details', np.int64(140)), ('handling', np.int64(140)), ('issues', np.int64(140)), ('key', np.int64(140)), ('korea', np.int64(140)), ('reports', np.int64(140)), ('various', np.int64(140)), ('clients', np.int64(130)), ('inventory', np.int64(130)), ('monitoring', np.int64(130)), ('plc', np.int64(130)), ('review', np.int64(130)), ('support', np.int64(130)), ('billing', np.int64(120)), ('freight', np.int64(120)), ('lead', np.int64(120)), ('procedures', np.int64(120)), ('providing', np.int64(120)), ('required', np.int64(120)), ('requirements', np.int64(120)), ('shipments', np.int64(120)), ('attending', np.int64(110)), ('completed', np.int64(110)), ('document', np.int64(110)), ('exprience', np.int64(110)), ('internal', np.int64(110)), ('members', np.int64(110)), ('service', np.int64(110)), ('technical', np.int64(110)), ('accounts', np.int64(100)), ('application', np.int64(100)), ('end', np.int64(100)), ('global', np.int64(100)), ('hpm', np.int64(100)), ('information', np.int64(100)), ('planning', np.int64(100)), ('pre', np.int64(100)), ('preparing', np.int64(100)), ('pvt', np.int64(100)), ('schedule', np.int64(100)), ('time', np.int64(100)), ('daily', np.int64(90)), ('level', np.int64(90)), ('maintaining', np.int64(90)), ('monthly', np.int64(90)), ('new', np.int64(90)), ('panels', np.int64(90)), ('performance', np.int64(90)), ('processes', np.int64(90)), ('qatar', np.int64(90)), ('testing', np.int64(90)), ('using', np.int64(90)), ('worked', np.int64(90)), ('design', np.int64(80)), ('developing', np.int64(80)), ('marshalling', np.int64(80)), ('overseeing', np.int64(80)), ('plan', np.int64(80)), ('point', np.int64(80)), ('prepaid', np.int64(80)), ('preparation', np.int64(80)), ('reporting', np.int64(80)), ('solutions', np.int64(80)), ('training', np.int64(80)), ('vendors', np.int64(80)), ('weekly', np.int64(80)), ('bny', np.int64(70)), ('check', np.int64(70)), ('controls', np.int64(70))]"
PMO,"[('management', np.int64(430)), ('project', np.int64(400)), ('report', np.int64(210)), ('responsible', np.int64(160)), ('business', np.int64(150)), ('exprience', np.int64(140)), ('reports', np.int64(140)), ('sla', np.int64(140)), ('team', np.int64(130)), ('data', np.int64(120)), ('process', np.int64(110)), ('skills', np.int64(110)), ('documentation', np.int64(100)), ('monitor', np.int64(100)), ('resource', np.int64(100)), ('risk', np.int64(100)), ('senior', np.int64(100)), ('training', np.int64(100)), ('billing', np.int64(90)), ('details', np.int64(90)), ('ensure', np.int64(90)), ('maintain', np.int64(90)), ('operations', np.int64(90)), ('pmo', np.int64(90)), ('reporting', np.int64(90)), ('requirements', np.int64(90)), ('ability', np.int64(80)), ('client', np.int64(80)), ('delivery', np.int64(80)), ('managers', np.int64(80)), ('new', np.int64(80)), ('time', np.int64(80)), ('work', np.int64(80)), ('issue', np.int64(70)), ('pune', np.int64(70)), ('identify', np.int64(60)), ('manage', np.int64(60)), ('processes', np.int64(60)), ('progress', np.int64(60)), ('school', np.int64(60)), ('service', np.int64(60)), ('activities', np.int64(50)), ('administration', np.int64(50)), ('based', np.int64(50)), ('changes', np.int64(50)), ('customer', np.int64(50)), ('development', np.int64(50)), ('internal', np.int64(50)), ('knowledge', np.int64(50)), ('plan', np.int64(50)), ('preparation', np.int64(50)), ('projects', np.int64(50)), ('risks', np.int64(50)), ('stakeholders', np.int64(50)), ('utilization', np.int64(50)), ('various', np.int64(50)), ('working', np.int64(50)), ('analysis', np.int64(40)), ('basis', np.int64(40)), ('calls', np.int64(40)), ('communications', np.int64(40)), ('creation', np.int64(40)), ('customers', np.int64(40)), ('dashboards', np.int64(40)), ('excel', np.int64(40)), ('floor', np.int64(40)), ('handling', np.int64(40)), ('india', np.int64(40)), ('like', np.int64(40)), ('maintenance', np.int64(40)), ('monthly', np.int64(40)), ('office', np.int64(40)), ('operational', np.int64(40)), ('opportunities', np.int64(40)), ('participate', np.int64(40)), ('penalty', np.int64(40)), ('prepare', np.int64(40)), ('required', np.int64(40)), ('resources', np.int64(40)), ('sales', np.int64(40)), ('schedule', np.int64(40)), ('sharing', np.int64(40)), ('staffing', np.int64(40)), ('targets', np.int64(40)), ('transition', np.int64(40)), ('understanding', np.int64(40)), ('weekly', np.int64(40)), ('actively', np.int64(30)), ('areas', np.int64(30)), ('assist', np.int64(30)), ('clarity', np.int64(30)), ('college', np.int64(30)), ('compliance', np.int64(30)), ('cost', np.int64(30)), ('costs', np.int64(30)), ('delhi', np.int64(30)), ('deploy', np.int64(30)), ('design', np.int64(30)), ('document', np.int64(30)), ('documents', np.int64(30))]"
