,Category,keywords
10,ETL Developer,"[('skill details etl', 0.4827), ('informatica jobs', 0.4836), ('used etl methodology', 0.4841), ('etl developer skill', 0.4865), ('etl methodology developing', 0.4887), ('performed informatica project', 0.4894), ('used etl methodologies', 0.4924), ('tools informatica', 0.493), ('technicalproficiencies db oracle', 0.4973), ('extensively used informatica', 0.4976), ('data warehouse knowledge', 0.498), ('plsql working knowledge', 0.5001), ('etl developer analyst', 0.5046), ('informatica 9x education', 0.507), ('involved development informatica', 0.518), ('data warehouse exprience', 0.522), ('data warehouse suffice', 0.525), ('technicalproficiencies db', 0.526), ('skills sql plsql', 0.5279), ('transformations technicalproficiencies db', 0.5332)]"
11,Electrical Engineering,"[('sap erp', 0.4508), ('industrial projects technical', 0.4525), ('college ssc chandrapur', 0.4582), ('management prepare electrical', 0.4601), ('power grid centre', 0.4604), ('network operation maharashtra', 0.4615), ('bhuli electrical engineering', 0.4616), ('2006 ssc pune', 0.4647), ('ssc pune maharashtra', 0.4671), ('maharashtra description project', 0.4699), ('engineering pvt skill', 0.4722), ('grid maharashtra', 0.4747), ('electrical engineering skill', 0.4759), ('experienced project engineering', 0.4828), ('matric diploma electrical', 0.4933), ('eplan sap erp', 0.4978), ('power training institute', 0.4997), ('power plant engineering', 0.5256), ('grid maharashtra supervisor', 0.5334), ('study power grid', 0.5716)]"
12,HR,"[('ssc hr', 0.4799), ('details company hr', 0.4821), ('hr assistant', 0.4841), ('mba sns', 0.4856), ('management computer skills', 0.4861), ('skill details company', 0.487), ('hr operations', 0.4874), ('mumbai university hr', 0.4899), ('sdnbvc hr skill', 0.4943), ('2006 diploma hotel', 0.4956), ('description hr payroll', 0.4962), ('hr operations exprience', 0.499), ('hr works offering', 0.4995), ('description hr education', 0.5026), ('skill details accounting', 0.5115), ('university hr skill', 0.5131), ('mba finance hr', 0.5149), ('skill details hr', 0.5266), ('hotel management hr', 0.5311), ('diploma hotel management', 0.5396)]"
13,Hadoop,"[('developer hadoop hive', 0.6368), ('responsibilities working hadoop', 0.6397), ('data hadoop', 0.6412), ('using hadoop framework', 0.6423), ('architect hadoop applications', 0.6425), ('hadoop jobs processing', 0.6426), ('working hadoop distributed', 0.6441), ('hadoop java programming', 0.6464), ('running hadoop jobs', 0.6527), ('hadoop jobs', 0.6556), ('systems engineer hadoop', 0.6578), ('processing data hadoop', 0.6583), ('processing using hadoop', 0.6594), ('hadoop framework analyes', 0.663), ('management hadoop developer', 0.6656), ('hadoop developer infosys', 0.6731), ('scala hadoop', 0.6809), ('data developer hadoop', 0.6831), ('hadoop analysis responsibilities', 0.6953), ('scala hadoop tools', 0.7207)]"
14,Health and fitness,"[('fitness manager', 0.5334), ('fitness centre description', 0.5351), ('nutrition exercise physiology', 0.5369), ('group fitness instructor', 0.5432), ('reporting fitness', 0.5442), ('field health fitness', 0.5486), ('assigned achieve fitness', 0.5487), ('help achieve fitness', 0.5498), ('training cardiovascular', 0.5521), ('academy gym aerobics', 0.5531), ('fitness levels', 0.5538), ('fitness trainer level3', 0.5581), ('fitness instructor india', 0.5608), ('fitness education details', 0.5621), ('fitness levels help', 0.5623), ('fitness centre skill', 0.564), ('personal fitness trainer', 0.5669), ('golds gym fitness', 0.5683), ('weight training cardiovascular', 0.5706), ('health fitness professionals', 0.6101)]"
15,Java Developer,"[('java developer developed', 0.5503), ('technology core java', 0.5505), ('institute java', 0.5615), ('advance java development', 0.5623), ('computer pune maharashtra', 0.5629), ('designation java developer', 0.5654), ('currently working java', 0.5682), ('skills java', 0.5693), ('java web developer', 0.5702), ('working java developer', 0.5707), ('java developer company', 0.5716), ('hardworking java developer', 0.5761), ('yrs java developer', 0.5762), ('institute technology java', 0.5768), ('technical institute java', 0.5777), ('java developer skill', 0.5868), ('pune university java', 0.5889), ('java education details', 0.6018), ('java developer enthusiastic', 0.6035), ('java education', 0.6073)]"
16,Mechanical Engineer,"[('machine diploma engineering', 0.5193), ('engineering engineering mumbai', 0.5239), ('mechanical design engineer', 0.5253), ('2018 mechanical engineering', 0.5339), ('mechanical engineering skill', 0.5341), ('engineering mumbai', 0.5353), ('engineer mechanical skill', 0.5373), ('1999 diploma mechanical', 0.5412), ('consultant mechanical engineering', 0.5421), ('engineering mumbai maharashtra', 0.5436), ('maharashtra industrial training', 0.5446), ('projects consultant mechanical', 0.5454), ('sr executive mechanical', 0.547), ('2002 diploma mechanical', 0.5566), ('diploma mechanical', 0.5566), ('pune university mechanical', 0.5586), ('mechanical engg 1998', 0.5653), ('mechanical pune', 0.57), ('mechanical pune maharashtra', 0.5767), ('mechanical engg services', 0.5988)]"
17,Network Security Engineer,"[('cisco security manager', 0.5076), ('engineer network security', 0.5083), ('network security enginner', 0.5086), ('firewall cisco asa', 0.5089), ('work experience firewall', 0.5091), ('network security solutions', 0.5118), ('network support engineer', 0.5119), ('cisco asa firewalls', 0.5136), ('firewall projects', 0.5169), ('details firewalls exprience', 0.5189), ('security technologies excellent', 0.5192), ('experience firewall', 0.5244), ('firewalls cisco asa', 0.5247), ('cisco security management', 0.5339), ('firewalls f5', 0.5365), ('expertise cisco asa', 0.545), ('network security analyst', 0.5457), ('technical expertise cisco', 0.5639), ('security engineer skill', 0.5697), ('skill details firewalls', 0.6041)]"
18,Operations Manager,"[('liasing india', 0.4782), ('lob global corporate', 0.4788), ('organization bny', 0.4814), ('billing operations responsibilities', 0.4872), ('client cbi national', 0.4899), ('bny mellon international', 0.4901), ('lob revenue', 0.4946), ('liasing operations network', 0.4961), ('services registrar bny', 0.4969), ('operations billing', 0.4978), ('business unit operations', 0.4987), ('bny mellon provides', 0.5047), ('company bny mellon', 0.5058), ('operations billing department', 0.5115), ('bny mellon corporate', 0.534), ('revenue billing services', 0.5391), ('bs revenue', 0.5403), ('business lob global', 0.545), ('billing services bs', 0.5466), ('liasing india operations', 0.5649)]"
19,PMO,"[('computer skills', 0.4715), ('leadership skills proven', 0.4732), ('consultant skill details', 0.4797), ('skills multi tasking', 0.4801), ('computer skills certification', 0.4869), ('organizational skills multitasking', 0.4889), ('skills certification', 0.4932), ('multi tasking skills', 0.4933), ('experience project management', 0.4959), ('skills certification advance', 0.501), ('ability particularly ms', 0.5022), ('analytical skills', 0.5082), ('operations management skills', 0.5085), ('core competencies maintain', 0.5112), ('management expertise', 0.5203), ('leadership skills', 0.5224), ('management ability', 0.5268), ('project management expertise', 0.5597), ('core competencies', 0.5676), ('administration core competencies', 0.5937)]"
20,Python Developer,"[('technical expertise python', 0.4448), ('analyst skill details', 0.4463), ('skill details company', 0.4471), ('experience handling projects', 0.4474), ('maintenance projects experience', 0.4496), ('data analyst skill', 0.4518), ('personal skills', 0.452), ('scrapping technical skills', 0.4546), ('training completed internal', 0.4568), ('internal python training', 0.4579), ('trainings completed internal', 0.467), ('deliverables technical skill', 0.4739), ('team certification trainings', 0.4745), ('programming technical skills', 0.4753), ('certification trainings', 0.4811), ('skills languages python', 0.4838), ('technologies skill details', 0.4878), ('expertise python development', 0.4935), ('skills responsibilities', 0.5157), ('python developer skill', 0.5629)]"
21,SAP Developer,"[('consultant sap', 0.6033), ('details sap technical', 0.6043), ('db sap', 0.6051), ('developer sap', 0.6072), ('sap bp bods', 0.6087), ('experience sap', 0.6094), ('sap bo design', 0.613), ('competencies sap', 0.6149), ('competencies sap business', 0.6156), ('sap technical consultant', 0.6157), ('sap consultant', 0.6158), ('sap bo bods', 0.6226), ('sap bods description', 0.6234), ('tools sap bods', 0.646), ('sap bods admin', 0.6521), ('experience various sap', 0.6553), ('sap bods exprience', 0.6576), ('sap bo oracle', 0.6605), ('sap bods skill', 0.6629), ('consultancy sap bods', 0.6738)]"
22,Sales,"[('qualifications university marketing', 0.4463), ('asm maruti dealership', 0.4526), ('board sales manager', 0.453), ('manager skill details', 0.4557), ('bachelor commerce india', 0.459), ('commerce india guru', 0.4607), ('sales management strengths', 0.4632), ('capital sales manager', 0.4662), ('management talent management', 0.4662), ('marketing performance pune', 0.4663), ('skill details marketing', 0.4674), ('job car dealership', 0.4698), ('develops sales roles', 0.4706), ('management skill', 0.4763), ('skills interpret sales', 0.4781), ('dealership cricket', 0.4914), ('management skill details', 0.4938), ('cricket academy skills', 0.5244), ('car dealership cricket', 0.558), ('dealership cricket academy', 0.567)]"
23,Testing,"[('project details diploma', 0.4135), ('computer proficiency basic', 0.4147), ('android exprience', 0.4153), ('computer skills software', 0.4163), ('computer skills', 0.4184), ('software test engineer', 0.4198), ('skill details company', 0.42), ('electronics description skill', 0.4204), ('skill details testing', 0.4222), ('applocker android', 0.4228), ('project android', 0.4231), ('pune university', 0.428), ('skills software knowledge', 0.4318), ('details android', 0.4328), ('pune maharashtra sinhagad', 0.4365), ('education pune maharashtra', 0.4455), ('electrical pune maharashtra', 0.4557), ('applocker android project', 0.4703), ('details android exprience', 0.4772), ('2018 electrical pune', 0.4796)]"
24,Web Designing,"[('web technologies html5', 0.4601), ('designed developed ui', 0.4622), ('developed ui', 0.4627), ('technologies angular', 0.4643), ('web designer', 0.466), ('project description trust', 0.4713), ('nagpur web designing', 0.4723), ('trustbank cbs', 0.4731), ('worked trustbank cbs', 0.4784), ('web designing developer', 0.4789), ('web development', 0.4798), ('worked trustbank', 0.4801), ('web technologies angular', 0.4829), ('banking solution trust', 0.4834), ('company trust systems', 0.4886), ('web design exprience', 0.49), ('skills web development', 0.4911), ('description trustbank cbs', 0.5239), ('description trustbank', 0.5239), ('trustbank cbs core', 0.5244)]"
